RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
70,"Zaza Pachulia, DAL",20,28.8,0.588,15.4,15.1,16.5,12,25.5,18.9,18.21,65.4,2.2
71,"Aaron Gordon, ORL",20,19,0.535,13.4,9.6,18,10.2,17.2,13.6,18.19,37.9,1.3
72,"Mason Plumlee, POR",21,27.5,0.569,18.7,14.6,16.4,10.5,22.8,16.8,17.85,62.4,2.1
73,"LaMarcus Aldridge, SA",19,29.8,0.487,7.5,8.1,23.8,10.4,21.6,16.3,17.79,53.1,1.8
74,"Giannis Antetokounmpo, MIL",20,32.9,0.583,14.2,12.6,21.3,4.4,17.5,11,17.77,71.3,2.4
75,"Marc Gasol, MEM",20,34.8,0.553,18.9,12.5,21.7,4,21.7,12.4,17.73,74,2.5
76,"Mario Chalmers, MIA/MEM",17,19.5,0.554,22.7,12.2,18.2,2.3,11.5,6.8,17.71,33.1,1.1
77,"Gorgui Dieng, MIN",19,21.3,0.607,8.2,18.1,15.9,9.1,21.1,15.2,17.66,42.7,1.4
78,"Zach LaVine, MIN",19,25.2,0.542,19.7,11.5,26.4,2.9,12.9,8,17.63,47.3,1.6
79,"Andrew Wiggins, MIN",18,35.5,0.523,7.2,8.8,26.5,5.4,6.4,5.9,17.54,67.1,2.2
80,"Deron Williams, DAL",19,32.9,0.557,26.8,10.2,21.5,0.5,8.8,4.8,17.42,59.9,2
81,"Tobias Harris, ORL",20,32.7,0.547,11.6,10.2,19.5,7.1,18.3,12.6,17.33,66.6,2.2
82,"Shane Larkin, BKN",19,18.8,0.55,29.2,12.8,19.8,1.5,11.8,6.6,17.31,33.6,1.1
83,"Rajon Rondo, SAC",21,35.2,0.479,39.5,13.2,22.4,4.1,16.8,10.4,17.24,68.8,2.3
84,"Ricky Rubio, MIN",13,30.1,0.468,39.8,10.4,20.9,3.5,14.1,9,17.21,36.2,1.2
85,"C.J. Miles, IND",16,28.6,0.612,8.5,9.3,20.3,1.4,8,4.7,17.16,45.5,1.5
86,"Victor Oladipo, ORL",18,30.7,0.482,18.9,7.7,23.8,2.3,19.3,10.6,17.12,54.6,1.8
87,"Ish Smith, NO",19,28.5,0.468,35,9.4,22.5,2.6,13.9,8.1,17.08,49.2,1.6
88,"Gordon Hayward, UTAH",18,35.6,0.549,13.5,11.5,24,3,12.9,7.9,17.05,62.6,2.1
89,"Rudy Gay, SAC",19,31.9,0.525,9.2,8.7,24.1,5.7,17.3,11.4,17.04,59.3,2
90,"Avery Bradley, BOS",18,30.5,0.581,11.2,9.4,21.1,1.7,7.4,4.4,17.03,49.4,1.6
,"Jon Leuer, PHX",20,17.5,0.574,14.4,7.8,16.6,5.2,25.9,15.4,17.03,28.9,1
92,"Richaun Holmes, PHI",11,14.4,0.612,6.8,8.5,14,11.4,6.9,9.2,16.98,12.9,0.4
