aquired,date,notes,relinquished,team
,2008-03-25,bruised left knee (DNP),Robert Horry,Spurs
â¢ Chris Duhon,2008-03-26,returned to lineup,,Bulls
,2008-03-26,sore back (DNP),Ben Wallace,Cavaliers
,2008-03-26,abdominal strain (DNP),Aaron Williams,Clippers
,2008-03-26,sore left foot (DNP),Quinton Ross,Clippers
,2008-03-26,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-03-26,sprained right thumb (DNP),Jason Williams,Heat
,2008-03-26,sore back (DNP),Shawn Marion,Heat
,2008-03-26,recovering from surgery on left ankle to repair bone spur (DNP),Udonis Haslem,Heat
,2008-03-26,strained lower back (DNP),Beno Udrih,Kings
,2008-03-26,sprained right knee (DNP),Nate Robinson,Knicks
,2008-03-26,wrist injury (DNP),Quentin Richardson,Knicks
,2008-03-26,sprained left ankle (DNP),Pau Gasol,Lakers
,2008-03-26,bruised left knee (DNP),Robert Horry,Spurs
,2008-03-27,strained right groin (DNP),Brandon Roy,Blazers
,2008-03-27,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-03-27,concussion (DTD),Daequan Cook,Heat
,2008-03-27,sprained right thumb (DNP),Jason Williams,Heat
,2008-03-27,sore back (DNP),Shawn Marion,Heat
,2008-03-27,recovering from surgery on left ankle to repair bone spur (DNP),Udonis Haslem,Heat
,2008-03-28,sore left knee (DNP),Othella Harrington,Bobcats
,2008-03-28,sore left foot (DNP),Quinton Ross,Clippers
,2008-03-28,sore right ankle (DNP),Salim Stoudamire,Hawks
,2008-03-28,stomach virus (DNP),Ronnie Brewer,Jazz
,2008-03-28,stomach virus (DNP),Mehmet Okur,Jazz
,2008-03-28,sprained right knee (DNP),Nate Robinson,Knicks
,2008-03-28,flu-like symptoms (DNP),Zach Randolph,Knicks
,2008-03-28,bruised left knee (DNP),Robert Horry,Spurs
,2008-03-29,strained right groin (DNP),Brandon Roy,Blazers
,2008-03-29,sore left knee (DNP),Othella Harrington,Bobcats
,2008-03-29,back spasms (DNP),Aaron Gray,Bulls
,2008-03-29,abdomimal strain (DNP),Drew Gooden,Bulls
,2008-03-29,left ankle tendinitis (DNP),Delonte West,Cavaliers
,2008-03-29,sore left foot (DNP),Quinton Ross,Clippers
,2008-03-29,sore Achilles tendon (DNP),Tim Thomas,Clippers
,2008-03-29,groin injury (DNP),Grant Hill,Suns
,2008-03-30,sore right ankle (DNP),Salim Stoudamire,Hawks
,2008-03-30,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-03-30,concussion (DNP),Daequan Cook,Heat
,2008-03-30,sprained right thumb (DNP),Jason Williams,Heat
,2008-03-30,sore back (DNP),Shawn Marion,Heat
,2008-03-30,recovering from surgery on left ankle to repair bone spur (DNP),Udonis Haslem,Heat
,2008-03-30,sprained left ankle (DNP),Spencer Hawes,Kings
,2008-03-30,flu-like symptoms (DNP),Zach Randolph,Knicks
,2008-03-30,bruised left knee (DNP),Robert Horry,Spurs
,2008-03-31,sore left knee (DNP),Othella Harrington,Bobcats
,2008-03-31,sore Achilles tendon (DNP),Tim Thomas,Clippers
,2008-03-31,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-03-31,sprained right thumb (DNP),Jason Williams,Heat
,2008-03-31,sore back (DNP),Shawn Marion,Heat
,2008-03-31,recovering from surgery on left ankle to repair bone spur (DNP),Udonis Haslem,Heat
,2008-03-31,broken right middle finger (out 1-2 weeks),Brian Cook,Magic
,2008-03-31,bruised right thigh (DNP),Jason Kapono,Raptors
,2008-03-31,strained right groin (DNP),Grant Hill,Suns
,2008-03-31,left wrist injury (DNP),Antonio Daniels,Wizards
,2008-03-31,torn labrum in left hip (DNP),Caron Butler,Wizards
,2008-04-01,sprained left ankle (DNP),Spencer Hawes,Kings
,2008-04-01,strained right groin (DNP),Grant Hill,Suns
,2008-04-02,strained right groin (DNP),Brandon Roy,Blazers
,2008-04-02,heel injury (DNP),Cuttino Mobley,Clippers
,2008-04-02,sore Achilles tendon (DNP),Tim Thomas,Clippers
,2008-04-02,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-04-02,sprained right thumb (DNP),Jason Williams,Heat
,2008-04-02,sore back (DNP),Shawn Marion,Heat
,2008-04-02,recovering from surgery on left ankle to repair bone spur (DNP),Udonis Haslem,Heat
,2008-04-02,recovering from surgery on right heel (DNP),Chris Mihm,Lakers
,2008-04-02,knee injury (DTD),Donyell Marshall,Sonics
,2008-04-03,strained right groin (DNP),Brandon Roy,Blazers
,2008-04-03,flu-like symptoms (DNP),Martell Webster,Blazers
,2008-04-03,left knee injury (DTD),Yi Jianlian / Jianlian Yi,Bucks
,2008-04-03,heel injury (DNP),Cuttino Mobley,Clippers
,2008-04-03,sore Achilles tendon (DNP),Tim Thomas,Clippers
,2008-04-04,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-04-04,sprained right thumb (DNP),Jason Williams,Heat
,2008-04-04,sore back (DNP),Shawn Marion,Heat
,2008-04-04,recovering from surgery on left ankle to repair bone spur (DNP),Udonis Haslem,Heat
,2008-04-04,concussion (DNP),Quentin Richardson,Knicks
,2008-04-04,sprained right shoulder (DNP),Antawn Jamison,Wizards
,2008-04-05,strained left groin (DNP),Gerald Wallace,Bobcats
,2008-04-05,rest (DNP),Kevin Garnett,Celtics
,2008-04-05,rest (DNP),Ray Allen,Celtics
,2008-04-05,strained left knee (DNP),Brad Miller,Kings
,2008-04-05,sprained left thumb (DNP),Ron Artest / Metta World Peace,Kings
,2008-04-05,sprained right shoulder (DNP),Antawn Jamison,Wizards
,2008-04-05,recovering from surgery on left knee (DNP),Gilbert Arenas,Wizards
,2008-04-06,broken bone in right hand (out for season),Joel Przybilla,Blazers
,2008-04-06,irregular heartbeat (DNP),Martell Webster,Blazers
,2008-04-06,sprained left ankle (DNP),Jake Voskuhl,Bucks
,2008-04-06,abdominal strain (DNP),Maurice Williams / Mo Williams,Bucks
,2008-04-06,sore Achilles tendon (DNP),Tim Thomas,Clippers
,2008-04-06,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-04-06,concussion (DNP),Alexander Johnson,Heat
,2008-04-06,sore back (DNP),Shawn Marion,Heat
,2008-04-06,recovering from surgery on left ankle to repair bone spur (DNP),Udonis Haslem,Heat
,2008-04-06,strained left knee (DNP),Brad Miller,Kings
,2008-04-06,concussion (DNP),Quentin Richardson,Knicks
,2008-04-06,strained right hamstring (DNP),Luke Walton,Lakers
,2008-04-08,irregular heartbeat (DNP),Martell Webster,Blazers
,2008-04-08,sore back (DNP),Derek Anderson,Bobcats
,2008-04-08,sore left groin (DNP),Gerald Wallace,Bobcats
,2008-04-08,sore left knee (DNP),Othella Harrington,Bobcats
,2008-04-08,sprained left ankle (DNP),Jake Voskuhl,Bucks
,2008-04-08,abdominal strain (DNP),Maurice Williams / Mo Williams,Bucks
,2008-04-08,strained right hamstring (DNP),Corey Maggette,Clippers
,2008-04-08,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-04-08,concussion (DNP),Alexander Johnson,Heat
,2008-04-08,sore back (DNP),Shawn Marion,Heat
,2008-04-08,recovering from surgery on left ankle to repair bone spur (DNP),Udonis Haslem,Heat
,2008-04-08,sprained left thumb (DNP),Ron Artest / Metta World Peace,Kings
,2008-04-08,back spasms (DNP),David Lee,Knicks
,2008-04-08,strained right hamstring (DNP),Luke Walton,Lakers
,2008-04-08,strained right groin (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-04-08,surgery on right knee to repair torn lateral meniscus (date approximate),Mouhamed Sene / Saer Sene,Sonics
,2008-04-08,sore right knee (DNP),Donyell Marshall,Sonics
,2008-04-09,sore back (DNP),Derek Anderson,Bobcats
,2008-04-09,sore left groin (DNP),Gerald Wallace,Bobcats
,2008-04-09,sore left knee (DNP),Othella Harrington,Bobcats
,2008-04-09,groin injury (DNP),Maurice Williams / Mo Williams,Bucks
,2008-04-10,strained right hamstring (DNP),Corey Maggette,Clippers
,2008-04-10,strained right groin (DNP),Nene / Nene Hilario / Maybyner Hilario,Nuggets
,2008-04-10,left groin injury (DTD),Emanuel Ginobili / Manu Ginobili,Spurs
,2008-04-11,irregular heartbeat (DNP),Martell Webster,Blazers
,2008-04-11,strained right hamstring (DNP),Charlie Villanueva,Bucks
,2008-04-11,abdominal strain (DNP),Maurice Williams / Mo Williams,Bucks
,2008-04-11,sore right foot (DNP),Leon Powe,Celtics
,2008-04-11,sprained right thumb (DNP),Javaris Crittenton,Grizzlies
,2008-04-11,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-04-11,concussion (DNP),Alexander Johnson,Heat
,2008-04-11,sore back (DNP),Shawn Marion,Heat
,2008-04-11,recovering from surgery on left ankle to repair bone spur (DNP),Udonis Haslem,Heat
,2008-04-11,surgery on right elbow to remove bone chip (out for season),Brad Miller,Kings
,2008-04-11,stomach virus (DNP),Kenny Thomas,Kings
,2008-04-11,sprained left thumb (DNP),Ron Artest / Metta World Peace,Kings
,2008-04-11,strained left adductor muscle (DNP),Emanuel Ginobili / Manu Ginobili,Spurs
,2008-04-11,sprained left sternoclavicular (DNP),Craig Smith,Timberwolves
,2008-04-12,irregular heartbeat (DNP),Martell Webster,Blazers
,2008-04-12,sore back (DNP),Derek Anderson,Bobcats
,2008-04-12,strained left groin (DNP),Gerald Wallace,Bobcats
,2008-04-12,sore left knee (DNP),Othella Harrington,Bobcats
,2008-04-12,strained right calf (DNP),Charlie Villanueva,Bucks
,2008-04-12,abdominal strain (DNP),Maurice Williams / Mo Williams,Bucks
Michael Ruffin,2008-04-12,sprained left ankle (DNP),,Bucks
,2008-04-12,left leg injury (DNP),Quinton Ross,Clippers
,2008-04-12,undisclosed injury (DTD),Darko Milicic,Grizzlies
,2008-04-12,sprained right thumb (DNP),Javaris Crittenton,Grizzlies
,2008-04-12,strained right knee (DNP),Kevin Martin,Kings
,2008-04-12,DNP,Matt Barnes,Warriors
,2008-04-12,bruised right knee (DNP),Caron Butler,Wizards
,2008-04-13,knee tendinitis (DTD),Damon Jones,Cavaliers
,2008-04-13,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-04-13,concussion (DNP),Alexander Johnson,Heat
,2008-04-13,sore back (DNP),Shawn Marion,Heat
,2008-04-13,recovering from surgery on left ankle to repair bone spur (DNP),Udonis Haslem,Heat
,2008-04-13,left knee injury (DNP),Bobby Jackson,Rockets
,2008-04-13,strained left adductor muscle (DNP),Emanuel Ginobili / Manu Ginobili,Spurs
,2008-04-14,abdominal strain (DNP),Maurice Williams / Mo Williams,Bucks
,2008-04-14,rest (DNP),Kevin Garnett,Celtics
,2008-04-14,rest (DNP),Ray Allen,Celtics
,2008-04-14,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-04-14,concussion (DNP),Alexander Johnson,Heat
,2008-04-14,sore back (DNP),Shawn Marion,Heat
,2008-04-14,recovering from surgery on left ankle to repair bone spur (DNP),Udonis Haslem,Heat
,2008-04-14,strained right knee (DNP),Kevin Martin,Kings
,2008-04-14,sprained left thumb (DNP),Ron Artest / Metta World Peace,Kings
,2008-04-14,sprained left ankle (DNP),Quentin Richardson,Knicks
,2008-04-14,bruised right knee (DNP),Jeff Foster,Pacers
,2008-04-14,bruised right knee (DNP),Caron Butler,Wizards
,2008-04-14,sore left knee / rest (DNP),Gilbert Arenas,Wizards
,2008-04-15,irregular heartbeat (DNP),Martell Webster,Blazers
,2008-04-15,sore back (DNP),Derek Anderson,Bobcats
,2008-04-15,strained left groin (DNP),Gerald Wallace,Bobcats
,2008-04-15,sore left knee (DNP),Othella Harrington,Bobcats
,2008-04-15,sprained left ankle (out 2-3 weeks),Aleksandar Pavlovic / Sasha Pavlovic,Cavaliers
,2008-04-15,sore Achilles tendon (DNP),Tim Thomas,Clippers
,2008-04-15,sprained right thumb (DNP),Javaris Crittenton,Grizzlies
,2008-04-15,bruised right knee (DNP),Kevin Martin,Kings
,2008-04-15,sprained left thumb (DNP),Ron Artest / Metta World Peace,Kings
,2008-04-16,irregular heartbeat (DNP),Martell Webster,Blazers
,2008-04-16,sore back (DNP),Derek Anderson,Bobcats
,2008-04-16,strained left groin (DNP),Gerald Wallace,Bobcats
,2008-04-16,sore left knee (DNP),Othella Harrington,Bobcats
,2008-04-16,abdominal strain (DNP),Maurice Williams / Mo Williams,Bucks
,2008-04-16,sprained left ankle (DNP),Aleksandar Pavlovic / Sasha Pavlovic,Cavaliers
,2008-04-16,sore Achilles tendon (DNP),Tim Thomas,Clippers
,2008-04-16,undisclosed injury (DNP),Darko Milicic,Grizzlies
,2008-04-16,sprained right thumb (DNP),Javaris Crittenton,Grizzlies
,2008-04-16,pulled right hamstring (DNP),Marcus Banks,Heat
,2008-04-16,sore back (DNP),Shawn Marion,Heat
,2008-04-16,recovering from surgery on left ankle to repair bone spur (DNP),Udonis Haslem,Heat
,2008-04-16,bruised right foot (DNP),Renaldo Balkman,Knicks
,2008-04-16,sprained left ankle (DNP),Quentin Richardson,Knicks
,2008-04-16,sprained left knee (DNP),Wilson Chandler,Knicks
,2008-04-16,sprained left sternoclavicular (DNP),Craig Smith,Timberwolves
,2008-04-16,rest (DNP),Antawn Jamison,Wizards
,2008-04-16,bruised right knee (DNP),Caron Butler,Wizards
,2008-04-16,sore left knee (DNP),Gilbert Arenas,Wizards
,2008-04-17,microfracture surgery on right knee (out indefinitely),Mouhamed Sene / Saer Sene,Sonics
â¢ Damon Jones,2008-04-21,returned to lineup,,Cavaliers
,2008-04-23,surgery on right ankle to remove bone spur,Vince Carter,Nets
,2008-04-24,surgery on left thumb to repair torn ligament,Ron Artest / Metta World Peace,Kings
,2008-04-26,surgery to repair broken nose,Antonio McDyess,Pistons
,2008-04-27,strained lower back (DNP),Tyronn Lue,Mavericks
,2008-04-27,right groin injury (DNP),Grant Hill,Suns
,2008-04-30,pinched nerve in left knee (DNP),Gilbert Arenas,Wizards
,2008-05-06,arthroscopic surgery on left shoulder and knee,Tracy McGrady,Rockets
,2008-05-07,surgery on left toe to remove bone spurs,Travis Diener,Pacers
,2008-05-08,surgery on right thumb to repair ligament damage,Maurice Williams / Mo Williams,Bucks
,2008-05-09,surgery on right ankle to repair ligament and tendon damage,Rafer Alston,Rockets
,2008-05-09,arthroscopic surgery on left ankle to remove bone spurs,Shane Battier,Rockets
,2008-05-15,separated left shoulder (right shoulder per CBC) (out 1-2 weeks),Daniel Gibson,Cavaliers
,2008-05-18,arthroscopic surgery on left knee to remove loose debris,Andrew Bynum,Lakers
,2008-05-20,head coach underwent left hip replacement surgery,George Karl,Nuggets
,2008-05-21,surgery on right hand to repair torn tendon in middle finger,Anthony Parker,Raptors
,2008-05-23,surgery on left thumb to repair torn ligament,Paul Millsap,Jazz
,2008-06-05,surgery on left foot to remove bone spur,Kyle Korver,Jazz
,2008-06-10,arthroscopic surgery on left ankle,Daniel Gibson,Cavaliers
,2008-06-13,surgery on right ankle to remove 2 bone spurs,Matt Harpring,Jazz
,2008-07-02,fractured thumb (out 3-4 months),Earl Watson,Sonics
,2008-07-03,surgery to repair fractured thumb,Earl Watson,Sonics
,2008-07-18,surgery on right ankle to remove bone spurs (out indefinitely),Luke Walton,Lakers
,2008-07-31,surgery to repair sports hernia (out ~4 weeks),Sonny Weems,Nuggets
,2008-08-08,torn ACL in left knee (out indefinitely)),Jason Smith,76ers
,2008-08-14,surgery on left knee to repair torn meniscus (out 4-8 weeks),Brandon Roy,Blazers
,2008-08-28,surgery to repair broken nose (out 4-6 weeks),Chuck Hayes,Rockets
,2008-09-03,arthroscopic surgery on left ankle (out 2-3 months),Emanuel Ginobili / Manu Ginobili,Spurs
,2008-09-08,arthroscopic surgery on left ankle to remove bone spurs (out 8-10 weeks),Channing Frye,Blazers
,2008-09-08,torn ACL in knee (out for season),Jason Richards,Heat
,2008-09-11,surgery on right elbow to repair ruptured triceps tendon (out 6-8 weeks),Jason Collins,Timberwolves
,2008-09-12,arthroscopic surgery on right shoulder to repair torn labrum (date approximate),Raef LaFrentz,Blazers
,2008-09-17,surgery on left knee to repair torn ACL (out for season),Jason Smith,76ers
,2008-09-17,arthroscopic surgery on left knee to remove loose debris (out 2-3 months),Gilbert Arenas,Wizards
,2008-09-18,sprained MCL in right knee (out 2-3 weeks),Al Jefferson,Timberwolves
,2008-09-24,arthroscopic surgery on right knee to repair torn cartilage and remove loose bodies (out ~6 weeks),Chucky Atkins,Nuggets
,2008-09-26,inflammation in left foot (out ~4 weeks),Shane Battier,Rockets
,2008-10-02,fractured left fibula (out 6-8 weeks),Jared Jeffries,Knicks
,2008-10-02,partially torn iris in right eye (DTD),Amare Stoudemire / Amar'e Stoudemire,Suns
,2008-10-08,stress fracture in left foot (out 8-10 weeks),Martell Webster,Blazers
,2008-10-08,torn ligament in right wrist (out indefinitely),Brendan Haywood,Wizards
,2008-10-09,surgery on left foot to repair stress fracture,Martell Webster,Blazers
,2008-10-09,fractured left hand (out indefinitely),Jamaal Magloire,Heat
,2008-10-10,surgery on jaw to remove benign growth (out 4-6 months),D.J. White,Thunder
,2008-10-16,surgery on right wrist to repair torn ligament (out 4-6 months),James Jones (b),Heat
,2008-10-16,surgery on right wrist to repair torn ligament (out 4-6 months),Brendan Haywood,Wizards
,2008-10-18,fractured left wrist (out indefinitely),Darnell Jackson,Cavaliers
,2008-10-20,sprained left ankle (out ~2 weeks),Deron Williams,Jazz
,2008-10-20,strained right calf (out 2-4 weeks),Francisco Garcia,Kings
,2008-10-22,dislocated right shoulder (out 6-8 weeks),Larry Hughes,Bulls
,2008-10-27,bone bruise in right ankle (out 1-3 weeks),Aaron Brooks,Rockets
,2008-10-28,knee injury (out for season),Mike Wilks,Magic
,2008-10-28,left wrist injury (DTD),Eduardo Najera,Nets
,2008-10-28,ear injury (DTD),Trenton Hassell,Nets
,2008-10-28,knee injury (DTD),Mike Dunleavy Jr.,Pacers
,2008-10-28,ankle injury (out 6-8 weeks),Monta Ellis,Warriors
,2008-10-29,mid-lateral foot sprain (out 2-4 weeks),Greg Oden,Blazers
,2008-10-29,right elbow tendinitis (DTD),Jarron Collins,Jazz
,2008-10-29,sore right shoulder (DTD),Hassan Adams,Raptors
,2008-10-29,hamstring injury (DTD),Will Solomon,Raptors
,2008-10-29,bone bruise in right ankle (DNP),Aaron Brooks,Rockets
,2008-10-29,irregular heartbeat (DNP),Fabricio Oberto,Spurs
,2008-10-29,ankle injury (DNP),Brandan Wright,Warriors
â¢ Aaron Brooks,2008-10-30,returned to lineup,,Rockets
,2008-10-31,quadriceps injury (DTD),Jerome James,Knicks
,2008-10-31,irregular heartbeat (DNP),Fabricio Oberto,Spurs
,2008-10-31,thumb injury (DTD),George Hill,Spurs
,2008-11-01,sprained right ankle (DNP),Predrag Stojakovic / Peja Stojakovic,Hornets
,2008-11-01,strained left hamstring (DNP),Will Solomon,Raptors
,2008-11-01,groin injury (DTD),Kyle Weaver,Thunder
â¢ George Hill,2008-11-04,returned to lineup,,Spurs
,2008-11-04,arthroscopic surgery on left knee to remove loose material (out ~4 weeks),Alando Tucker,Suns
,2008-11-05,strained right hip flexor (DNP),Marcus Banks,Heat
,2008-11-05,knee injury (DTD),Shaun Livingston,Heat
,2008-11-06,sprained MCL in right knee (DTD),Chris Douglas-Roberts,Nets
,2008-11-07,sprained left ankle (out 2-4 weeks),Josh Smith,Hawks
â¢ Hassan Adams,2008-11-07,returned to lineup,,Raptors
,2008-11-07,sprained left ankle (out 2-4 weeks),(William) Tony Parker,Spurs
,2008-11-07,left knee injury (DNP),Dorell Wright,Heat
,2008-11-08,sprained right ankle (DNP),Drew Gooden,Bulls
,2008-11-08,torn ligaments in right thumb (out ~3 months),Kirk Hinrich,Bulls
,2008-11-08,torn ligaments in right thumb (DNP),Kirk Hinrich,Bulls
,2008-11-08,left knee injury (DNP),Dorell Wright,Heat
,2008-11-09,sprained left wrist (DNP),Kenyon Martin,Nuggets
,2008-11-10,strained left groin (DNP),Shawn Marion,Heat
,2008-11-10,sprained left ankle (out 1-2 weeks),Kevin Martin,Kings
,2008-11-11,sprained right ankle (DNP),Drew Gooden,Bulls
,2008-11-11,surgery on right thumb to repair torn ligaments (date approximate),Kirk Hinrich,Bulls
,2008-11-11,right knee injury (DNP),Chucky Atkins,Nuggets
,2008-11-11,sprained left wrist (DNP),Kenyon Martin,Nuggets
,2008-11-11,strained left groin (DNP),Sonny Weems,Nuggets
,2008-11-12,arthroscopic surgery on right knee (out ~1 week),Jason Richardson,Bobcats
,2008-11-12,strained left groin (DNP),Shawn Marion,Heat
,2008-11-12,sore right ankle (DNP),Quincy Douby,Kings
,2008-11-12,sore quadriceps/knee (DNP),Danny Granger,Pacers
,2008-11-12,sprained right toe (DNP),Kris Humphries,Raptors
,2008-11-14,strained neck (DNP),Eduardo Najera,Nets
,2008-11-14,arthrosopic surgery on right knee (out ~12 weeks),Steven Hunter,Nuggets
,2008-11-14,right thumb injury (DTD),Brent Barry,Rockets
,2008-11-14,right knee injury (DTD),Antonio Daniels,Wizards
,2008-11-15,ankle injury (DNP),Matt Harpring,Jazz
,2008-11-15,strained neck (DNP),Eduardo Najera,Nets
,2008-11-15,sprained right thumb (DNP),Brent Barry,Rockets
,2008-11-16,strained right hamstring (DNP),Jose Calderon,Raptors
