PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
"Tyson Chandler, PHX",61,23.8,0.589,12.2,18.1,11.9,11.4,27.6,19.3,13.78,69.0,2.3
"Shaun Livingston, GS",71,19.4,0.569,31.7,10.0,14.5,3.5,8.2,6.0,13.77,56.9,1.9
"Shelvin Mack, ATL/UTAH",45,18.2,0.495,26.6,13.6,28.1,1.4,12.7,7.1,13.74,33.6,1.1
"Evan Turner, BOS",75,27.7,0.509,26.7,12.2,19.0,2.3,16.5,9.3,13.73,100.4,3.3
"Terrence Jones, HOU",49,21.2,0.519,8.1,9.5,18.0,6.4,15.8,11.1,13.70,34.1,1.1
"Jamal Crawford, LAC",75,26.8,0.523,13.4,8.2,23.1,0.9,6.4,3.7,13.69,95.7,3.2
"Gary Neal, WSH",40,20.2,0.558,11.1,6.8,19.1,1.5,10.3,5.8,13.66,0.0,0.0
"Mike Muscala, ATL",56,9.6,0.581,14.7,12.4,14.5,7.3,15.0,11.2,13.62,17.0,0.6
"Eric Gordon, NO",45,32.9,0.565,15.1,9.1,19.3,0.7,6.9,3.7,13.59,68.2,2.3
"Bobby Portis, CHI",55,17.3,0.467,9.0,9.4,19.6,11.0,20.0,15.6,13.57,29.4,1.0
"Alex Len, PHX",71,22.6,0.495,9.6,15.2,19.6,10.9,26.0,18.3,13.56,71.0,2.4
"Lance Stephenson, LAC/MEM",63,19.0,0.556,17.7,13.2,14.5,3.4,15.6,9.4,13.56,54.7,1.8
"Kris Humphries, ATL/PHX/WSH",47,16.5,0.525,8.5,9.3,18.9,0.0,0.0,0.0,13.50,23.2,0.8
"Devin Harris, DAL",58,19.5,0.561,20.3,10.3,16.8,1.6,10.1,5.9,13.49,42.1,1.4
"Channing Frye, CLE/ORL",63,16.8,0.598,15.8,9.0,17.2,3.4,18.6,10.9,13.35,29.2,1.0
"Shane Larkin, BKN",71,21.6,0.522,32.5,14.3,18.6,1.2,9.9,5.5,13.34,53.8,1.8
"Larry Nance Jr., LAL",57,20.2,0.539,10.3,10.0,12.0,8.5,18.4,13.3,13.27,30.3,1.0
"Gerald Henderson, POR",67,19.6,0.529,10.3,9.1,19.1,2.3,14.3,8.3,13.26,54.1,1.8
"Alexis Ajinca, NO",54,13.4,0.499,6.9,11.3,18.1,9.1,26.0,17.2,13.18,27.9,0.9
"Thomas Robinson, BKN",66,12.0,0.437,10.4,16.0,17.8,14.7,28.5,21.6,13.14,19.4,0.6
"C.J. Miles, IND",59,23.1,0.529,8.0,8.9,21.1,2.0,11.1,6.6,13.13,53.4,1.8
"George Hill, IND",68,34.5,0.550,22.5,8.7,15.6,2.5,10.3,6.4,13.11,73.9,2.5
"Avery Bradley, BOS",70,33.6,0.537,11.8,8.5,18.9,1.9,7.0,4.4,13.04,71.5,2.4
"Kent Bazemore, ATL",70,27.6,0.547,15.1,12.2,18.5,1.5,17.4,9.6,13.01,72.6,2.4
"Jeff Green, LAC/MEM",73,28.6,0.512,12.0,8.1,17.5,3.6,13.5,8.4,12.97,77.0,2.6
"Thabo Sefolosha, ATL",69,23.5,0.585,17.8,11.2,11.9,3.5,17.5,10.6,12.96,59.5,2.0
"Robert Covington, PHI",60,27.6,0.542,9.3,14.9,19.7,3.5,21.2,12.1,12.90,59.3,2.0
"Mo Williams, CLE",38,18.9,0.533,20.8,12.1,22.7,0.9,9.9,5.4,12.80,19.3,0.6
"Darrell Arthur, DEN",69,21.8,0.518,14.4,9.9,16.0,6.3,15.4,10.7,12.74,27.9,0.9
"Andre Iguodala, GS",60,26.8,0.572,31.2,10.9,12.5,3.5,12.3,8.1,12.70,52.8,1.8
"Maurice Harkless, POR",72,17.8,0.542,11.7,11.3,14.7,6.9,13.4,10.1,12.69,42.1,1.4
"Trevor Ariza, HOU",75,35.3,0.543,15.0,9.2,15.1,2.5,11.7,7.1,12.69,86.3,2.9
"Kentavious Caldwell-Pope, DET",70,36.7,0.518,11.1,7.9,17.7,2.7,8.8,5.6,12.64,81.9,2.7
"Marcus Morris, DET",74,35.7,0.529,14.3,9.6,17.9,3.1,12.3,7.5,12.64,44.8,1.5
"Gary Harris, DEN",71,32.1,0.561,13.5,9.4,15.9,2.5,7.5,4.9,12.59,71.0,2.4
"Patrick Beverley, HOU",65,28.5,0.550,23.6,9.9,15.4,3.8,9.5,6.7,12.58,43.9,1.5
"Al-Farouq Aminu, POR",76,28.6,0.525,13.0,11.2,16.2,4.6,18.6,11.6,12.53,65.6,2.2
"Kyle Anderson, SA",71,15.3,0.526,23.5,12.4,14.3,2.5,17.6,10.4,12.52,32.7,1.1
"Jerryd Bayless, MIL",52,28.9,0.568,22.9,10.2,16.3,1.6,9.0,5.3,12.51,33.8,1.1
"Terrence Ross, TOR",65,24.0,0.547,7.2,6.0,16.3,1.3,10.2,5.8,12.45,45.5,1.5
"Lavoy Allen, IND",72,20.5,0.527,14.4,12.8,12.2,11.2,17.9,14.5,12.38,19.3,0.6
"Jose Calderon, NY",72,28.1,0.571,34.6,10.1,13.4,1.2,11.1,6.2,12.37,41.4,1.4
"Devin Booker, PHX",69,27.1,0.545,15.2,11.7,21.7,1.4,8.5,4.8,12.35,51.7,1.7
"Tony Allen, MEM",60,25.3,0.501,10.5,11.3,15.5,6.6,14.0,10.2,12.34,41.6,1.4
"Allen Crabbe, POR",75,26.0,0.570,11.1,7.2,15.7,1.4,9.9,5.6,12.33,53.5,1.8
